Rank,Country,GDP - per capita (PPP),Date of Information
197,Eritrea,1600.00,2017
198,Sierra Leone,1600.00,2017
199,South Sudan,1600.00,2017
200,Senegal,1583.00,2019
201,Comoros,1406.00,2019
202,Pakistan,1404.00,2019
203,Lesotho,1384.00,2019
204,Kenya,1354.00,2019
205,Zimbabwe,1306.00,2018
206,Mozambique,1300.00,2017
207,Bangladesh,1281.00,2019
208,Benin,1224.00,2018
209,Malawi,1200.00,2017
210,Kyrgyzstan,1127.00,2019
211,Tanzania,959.00,2019
212,Guinea,937.00,2019
213,Burkina Faso,821.00,2019
214,"Gambia, The",815.00,2019
215,Chad,813.00,2019
216,Mali,792.00,2019
217,Central African Republic,700.00,2017
218,Togo,672.00,2018
219,Guinea-Bissau,598.00,2018
220,Ethiopia,537.00,2019
221,Liberia,516.00,2019
222,Madagascar,497.00,2019
223,Niger,472.00,2018
224,"Congo, Democratic Republic of the",421.00,2019
225,Burundi,208.00,2019
226,Mauritania,175.00,2019
227,Sao Tome and Principe,1.00,2019
